State,report_year,violent_crimes
AZ,1975,6726.0
AZ,1976,5631.0
AZ,1977,6258.0
AZ,1978,7548.0
AZ,1979,8587.0
AZ,1980,10416.0
AZ,1981,9870.0
AZ,1982,9061.0
AZ,1983,8844.0
AZ,1984,10202.0
AZ,1985,12355.0
AZ,1986,14090.0
AZ,1987,12997.0
AZ,1988,13400.0
AZ,1989,13068.0
AZ,1990,16069.0
AZ,1991,16964.0
AZ,1992,17288.0
AZ,1993,18609.0
AZ,1994,18873.0
AZ,1995,19655.0
AZ,1996,18187.0
AZ,1997,18046.0
AZ,1998,17448.0
AZ,1999,16638.0
AZ,2000,16689.0
AZ,2001,17871.0
AZ,2002,17819.0
AZ,2003,16777.0
AZ,2004,16838.0
AZ,2005,18019.0
AZ,2006,17859.0
AZ,2007,17485.0
AZ,2008,17006.0
AZ,2009,14290.0
AZ,2010,13122.0
AZ,2011,13366.0
AZ,2012,15112.0
AZ,2013,14667.0
AZ,2014,14311.0
AZ,2015,14705.0
CA,1975,67951.0
CA,1976,71991.0
CA,1977,74459.0
CA,1978,79604.0
CA,1979,89856.0
CA,1980,104487.0
CA,1981,104912.0
CA,1982,103170.0
CA,1983,100405.0
CA,1984,96815.0
CA,1985,99507.0
CA,1986,119413.0
CA,1987,117300.0
CA,1988,121375.0
CA,1989,138254.0
CA,1990,152971.0
CA,1991,166338.0
CA,1992,168646.0
CA,1993,159186.0
CA,1994,143082.0
CA,1995,137198.0
CA,1996,124126.0
CA,1997,113429.0
CA,1998,99042.0
CA,1999,91012.0
CA,2000,93443.0
CA,2001,96141.0
CA,2002,94199.0
CA,2003,89381.0
CA,2004,83029.0
CA,2005,73559.0
CA,2006,74400.0
CA,2007,71297.0
CA,2008,68854.0
CA,2009,62989.0
CA,2010,58692.0
CA,2011,55102.0
CA,2012,55794.0
CA,2013,53448.0
CA,2014,54043.0
CA,2015,61320.0
CO,1975,5571.0
CO,1976,4653.0
CO,1977,5617.0
CO,1978,5708.0
CO,1979,6151.0
CO,1980,6798.0
CO,1981,6522.0
CO,1982,6341.0
CO,1983,6085.0
CO,1984,5922.0
CO,1985,6502.0
CO,1986,7518.0
CO,1987,6541.0
CO,1988,6259.0
CO,1989,6431.0
CO,1990,7396.0
CO,1991,8780.0
CO,1992,9367.0
CO,1993,9709.0
CO,1994,8367.0
CO,1995,6315.0
CO,1996,5461.0
CO,1997,5193.0
CO,1998,4412.0
CO,1999,4363.0
CO,2000,4398.0
CO,2001,4685.0
CO,2002,4931.0
CO,2003,5231.0
CO,2004,6229.0
CO,2005,6281.0
CO,2006,6181.0
CO,2007,5213.0
CO,2008,4980.0
CO,2009,4993.0
CO,2010,4836.0
CO,2011,5178.0
CO,2012,5285.0
CO,2013,5522.0
CO,2014,5432.0
CO,2015,6259.0
DC,1975,12704.0
DC,1976,10399.0
DC,1977,9843.0
DC,1978,9515.0
DC,1979,10553.0
DC,1980,12772.0
DC,1981,14468.0
DC,1982,13397.0
DC,1983,11933.0
DC,1984,10725.0
DC,1985,10171.0
DC,1986,9422.0
DC,1987,10016.0
DC,1988,11913.0
DC,1989,12936.0
DC,1990,14919.0
DC,1991,14665.0
DC,1992,16680.0
DC,1993,16888.0
DC,1994,15177.0
DC,1995,14745.0
DC,1996,13411.0
DC,1997,10706.0
DC,1998,8988.0
DC,1999,8448.0
DC,2000,8622.0
DC,2001,9192.0
DC,2002,9109.0
DC,2003,8839.0
DC,2004,7336.0
DC,2005,7716.0
DC,2006,8408.0
DC,2007,7924.0
DC,2008,8135.0
DC,2009,7587.0
DC,2010,7468.0
DC,2011,6985.0
DC,2012,7448.0
DC,2013,7880.0
DC,2014,7810.0
DC,2015,8084.0
FL,1975,21778.0
FL,1976,20455.0
FL,1977,21058.0
FL,1978,24207.0
FL,1979,27168.0
FL,1980,36190.0
FL,1981,37647.0
FL,1982,36092.0
FL,1983,34517.0
FL,1984,38447.0
FL,1985,41337.0
FL,1986,46176.0
FL,1987,48775.0
FL,1988,32984.0
FL,1989,53935.0
FL,1990,60814.0
FL,1991,57245.0
FL,1992,57538.0
FL,1993,60199.0
FL,1994,57283.0
FL,1995,53590.0
FL,1996,53471.0
FL,1997,49678.0
FL,1998,43924.0
FL,1999,38279.0
FL,2000,38995.0
FL,2001,37208.0
FL,2002,36080.0
FL,2003,34524.0
FL,2004,30927.0
FL,2005,30505.0
FL,2006,29780.0
FL,2007,30723.0
FL,2008,29294.0
FL,2009,24981.0
FL,2010,22019.0
FL,2011,21763.0
FL,2012,20761.0
FL,2013,20661.0
FL,2014,21317.0
FL,2015,21097.0
GA,1975,8033.0
GA,1976,7529.0
GA,1977,7595.0
GA,1978,8845.0
GA,1979,10715.0
GA,1980,11075.0
GA,1981,10608.0
GA,1982,10486.0
GA,1983,9326.0
GA,1984,10525.0
GA,1985,11610.0
GA,1986,13162.0
GA,1987,12893.0
GA,1988,15911.0
GA,1989,16852.0
GA,1990,16097.0
GA,1991,16327.0
GA,1992,15856.0
GA,1993,16281.0
GA,1994,14684.0
GA,1995,14744.0
GA,1996,13699.0
GA,1997,12830.0
GA,1998,12624.0
GA,1999,11226.0
GA,2000,11583.0
GA,2001,10807.0
GA,2002,9969.0
GA,2003,8490.0
GA,2004,7921.0
GA,2005,7213.0
GA,2006,7548.0
GA,2007,8075.0
GA,2008,7403.0
GA,2009,6359.0
GA,2010,5749.0
GA,2011,6097.0
GA,2012,6027.0
GA,2013,5516.0
GA,2014,5577.0
GA,2015,5203.0
HI,1975,1596.0
HI,1976,1696.0
HI,1977,1660.0
HI,1978,2044.0
HI,1979,2196.0
HI,1980,2456.0
HI,1981,1965.0
HI,1982,2151.0
HI,1983,2136.0
HI,1984,1950.0
HI,1985,1801.0
HI,1986,2076.0
HI,1987,2258.0
HI,1988,2186.0
HI,1989,2165.0
HI,1990,2412.0
HI,1991,2058.0
HI,1992,2382.0
HI,1993,2501.0
HI,1994,2528.0
HI,1995,2882.0
HI,1996,2748.0
HI,1997,2636.0
HI,1998,2342.0
HI,1999,2198.0
HI,2000,2302.0
HI,2001,2453.0
HI,2002,2601.0
HI,2003,2606.0
HI,2004,2507.0
HI,2005,2570.0
HI,2006,2745.0
HI,2007,2613.0
HI,2008,2575.0
HI,2009,2537.0
HI,2010,2548.0
HI,2011,2370.0
HI,2012,2336.0
HI,2013,2276.0
HI,2014,2273.0
HI,2015,2437.0
IL,1975,37160.0
IL,1976,30640.0
IL,1977,28873.0
IL,1978,27686.0
IL,1979,27807.0
IL,1980,28658.0
IL,1981,25609.0
IL,1982,26404.0
IL,1983,39776.0
IL,1984,60579.0
IL,1985,60011.0
IL,1986,68909.0
IL,1987,68368.0
IL,1988,69318.0
IL,1989,73590.0
IL,1990,82728.0
IL,1991,90520.0
IL,1992,84242.0
IL,1993,79183.0
IL,1994,78291.0
IL,1995,73011.0
IL,1996,67498.0
IL,1997,65110.0
IL,1998,62317.0
IL,1999,51347.0
IL,2000,48522.0
IL,2001,46608.0
IL,2002,45985.0
IL,2003,39483.0
IL,2004,36863.0
IL,2005,36050.0
IL,2006,35363.0
IL,2007,34936.0
IL,2008,35789.0
IL,2009,33501.0
IL,2010,29774.0
IL,2011,28273.0
