report_year,agency_jurisdiction,violent_crimes
1975,"Albuquerque, NM",2383.0
1975,"Arlington, TX",278.0
1975,"Atlanta, GA",8033.0
1975,"Aurora, CO",611.0
1975,"Austin, TX",1215.0
1975,"Baltimore County, MD",1259.0
1975,"Baltimore, MD",16086.0
1975,"Boston, MA",11386.0
1975,"Buffalo, NY",3350.0
1975,"Charlotte, NC",1937.0
1975,"Chicago, IL",37160.0
1975,"Cincinnati, OH",3578.0
1975,"Cleveland, OH",10403.0
1975,"Columbus, OH",3980.0
1975,"Dallas, TX",7655.0
1975,"Denver, CO",4960.0
1975,"Detroit, MI",30387.0
1975,"El Paso, TX",1618.0
1975,"Fairfax County, VA",805.0
1975,"Fort Worth, TX",1939.0
1975,"Fresno, CA",1141.0
1975,"Honolulu, HI",1596.0
1975,"Houston, TX",8924.0
1975,"Indianapolis, IN",4655.0
1975,"Jacksonville, FL",4579.0
1975,"Kansas City, MO",6072.0
1975,"Las Vegas, NV",2594.0
1975,"Long Beach, CA",3189.0
1975,"Los Angeles County, CA",9792.0
1975,"Los Angeles, CA",30405.0
1975,"Louisville, KY",0.0
1975,"Memphis, TN",5429.0
1975,"Mesa, AZ",267.0
1975,"Miami, FL",6213.0
1975,"Miami-Dade County, FL",6702.0
1975,"Milwaukee, WI",3204.0
1975,"Minneapolis, MN",3326.0
1975,"Montgomery County, MD",967.0
1975,"Nashville, TN",3158.0
1975,"Nassau County, NY",993.0
1975,"New Orleans, LA",5993.0
1975,"New York City, NY",132182.0
1975,"Newark, NJ",7136.0
1975,"Oakland, CA",5900.0
1975,"Oklahoma City, OK",2666.0
1975,"Omaha, NE",2540.0
1975,"Orlando, FL",1116.0
1975,"Philadelphia, PA",16332.0
1975,"Phoenix, AZ",4649.0
1975,"Pittsburgh, PA",4967.0
1975,"Portland, OR",4076.0
1975,"Prince George's County, MD",4147.0
1975,"Raleigh, NC",721.0
1975,"Sacramento, CA",2412.0
1975,"Salt Lake City, UT",1070.0
1975,"San Antonio, TX",4222.0
1975,"San Diego, CA",3859.0
1975,"San Francisco, CA",9137.0
1975,"San Jose, CA",2116.0
1975,"Seattle, WA",3971.0
1975,"St. Louis, MO",10563.0
1975,"Suffolk County, NY",964.0
1975,"Tampa, FL",3168.0
1975,"Tucson, AZ",1810.0
1975,"Tulsa, OK",1768.0
1975,"Virginia Beach, VA",452.0
1975,"Washington, DC",12704.0
1975,"Wichita, KS",1137.0
1976,"Albuquerque, NM",2420.0
1976,"Arlington, TX",274.0
1976,"Atlanta, GA",7529.0
1976,"Aurora, CO",546.0
1976,"Austin, TX",1202.0
1976,"Baltimore County, MD",1798.0
1976,"Baltimore, MD",14191.0
1976,"Boston, MA",9888.0
1976,"Buffalo, NY",3091.0
1976,"Charlotte, NC",1895.0
1976,"Chicago, IL",30640.0
1976,"Cincinnati, OH",3461.0
1976,"Cleveland, OH",8496.0
1976,"Columbus, OH",3287.0
1976,"Dallas, TX",7244.0
1976,"Denver, CO",4107.0
1976,"Detroit, MI",29699.0
1976,"El Paso, TX",1573.0
1976,"Fairfax County, VA",708.0
1976,"Fort Worth, TX",1732.0
1976,"Fresno, CA",1267.0
1976,"Honolulu, HI",1696.0
1976,"Houston, TX",8045.0
1976,"Indianapolis, IN",4144.0
1976,"Jacksonville, FL",4443.0
1976,"Kansas City, MO",5578.0
1976,"Las Vegas, NV",2473.0
1976,"Long Beach, CA",2950.0
1976,"Los Angeles County, CA",10104.0
1976,"Los Angeles, CA",31960.0
